term	warmth	competence	sociability	trust
election fraud	-0.944	-0.418	-0.926	-0.944
electric bill	-0.042	0.138	-0.042	0.000
electric chair	-0.958	0.068	-0.958	-0.148
electric guitar	0.417	0.172	0.417	0.121
electric toothbrush	0.242	0.160	0.048	0.242
electrical engineer	0.636	0.424	-0.185	0.636
elementary school	0.889	-0.026	0.889	0.455
elevator music	-0.500	0.040	-0.500	0.028
embark on	0.364	0.326	0.333	0.364
emergency brake	0.556	-0.066	-0.185	0.556
emergency department	0.646	0.536	0.125	0.646
emergency fund	0.857	0.408	0.857	0.515
emergency room	0.667	-0.034	-0.238	0.667
eminent domain	-0.542	0.400	-0.542	-0.278
emotional intelligence	0.963	0.322	0.963	0.667
emotional person	0.667	-0.334	0.667	0.061
emotional state	0.952	0.096	0.952	0.000
empty words	-0.625	-0.264	-0.625	-0.583
end game	-0.250	-0.400	-0.250	0.033
end in	-0.143	-0.380	-0.143	-0.083
end of	-0.476	-0.214	-0.476	0.000
end on	0.061	-0.250	0.042	0.061
end point	0.091	-0.310	0.000	0.091
end product	0.121	-0.212	0.000	0.121
end result	0.133	0.206	-0.125	0.133
end up	0.139	-0.620	0.000	0.139
end user	0.100	-0.250	-0.074	0.100
end with	-0.222	-0.200	-0.222	-0.067
endangered species	0.583	-0.200	0.583	0.121
energy crisis	-0.583	0.000	-0.583	-0.042
energy efficient	0.611	0.414	0.000	0.611
energy level	0.429	0.366	0.429	0.111
engagement ring	1.000	0.226	1.000	0.727
english language	0.542	0.038	0.542	0.190
english teacher	0.889	0.130	0.889	0.727
enough said	0.067	0.154	0.000	0.067
entertainment industry	0.583	0.438	0.583	0.000
environmentally friendly	0.952	0.586	0.952	0.636
epsom salt	0.152	-0.166	0.042	0.152
equal opportunity	1.000	0.500	1.000	0.970
equal pay	1.000	0.134	1.000	0.867
erectile dysfunction	-0.583	-0.334	-0.583	-0.528
error code	-0.476	-0.452	-0.476	-0.154
error message	-0.625	-0.500	-0.625	-0.333
escape from	-0.593	-0.188	-0.593	-0.061
estate tax	-0.333	-0.100	-0.333	0.000
eternal life	0.952	0.310	0.952	0.889
eternally grateful	1.000	0.274	1.000	0.872
even more	0.222	0.066	0.222	0.033
even tho	0.111	-0.566	0.111	-0.037
even up	0.515	0.000	0.000	0.515
ever more	0.091	0.138	0.083	0.091
every last	0.067	0.000	0.000	0.067
every one	1.000	0.134	1.000	0.182
every thing	0.048	0.000	0.048	-0.030
every time	0.333	0.130	0.222	0.333
every week	0.667	0.074	0.259	0.667
everybody out	0.833	-0.036	0.833	0.033
evil eye	-0.741	-0.428	-0.741	-0.727
evil twin	-0.900	0.178	-0.857	-0.900
ex husband	-0.519	-0.172	-0.519	-0.367
ex wife	-0.381	-0.296	-0.381	-0.167
excel at	0.778	0.250	0.778	0.455
except for	0.048	-0.066	0.048	0.000
exchange rate	0.030	0.066	0.000	0.030
excuse for	-0.364	-0.100	0.048	-0.364
excuse me	0.944	-0.286	0.944	0.633
executive director	0.606	0.214	-0.037	0.606
executive order	0.242	0.656	-0.111	0.242
exercise bike	0.148	0.108	0.148	0.139
exit ramp	-0.042	-0.420	-0.042	0.030
exit strategy	-0.375	-0.124	-0.375	-0.300
expand on	0.625	0.172	0.625	0.000
expiration date	0.708	-0.354	-0.143	0.708
expiry date	0.212	-0.566	-0.208	0.212
extended family	0.917	0.444	0.917	0.667
extra curricular	0.952	0.394	0.952	0.139
extreme disgust	-0.875	-0.088	-0.875	-0.667
extreme sport	0.476	0.414	0.476	0.030
extreme surprise	0.857	0.352	0.857	0.167
extreme trust	0.926	0.844	0.926	0.778
extremely negative	-0.905	-0.378	-0.905	-0.722
extremely positive	0.958	0.678	0.958	0.222
eye candy	-0.278	0.064	0.208	-0.278
eye doctor	0.833	0.242	0.375	0.833
eye patch	-0.250	-0.022	-0.250	0.000
eye shadow	0.125	0.222	0.125	0.000
eye surgery	-0.208	0.102	-0.208	0.167
fabric softener	0.333	-0.178	0.333	0.091
face down	-0.519	-0.388	-0.519	-0.222
face off	-0.619	-0.058	-0.619	0.028
face paint	0.333	0.108	0.333	-0.100
face time	0.833	0.034	0.833	0.485
face value	0.667	0.334	0.048	0.667
face wash	0.200	0.000	0.042	0.200
fade away	-0.625	-0.360	-0.625	-0.083
fade in	0.095	-0.392	0.095	0.000
fade out	-0.296	-0.718	-0.296	-0.111
fail to	-0.583	-0.612	-0.583	-0.583
failed state	-0.833	-0.516	-0.833	-0.818
fair amount	0.424	0.190	0.407	0.424
fair chance	0.848	-0.036	0.556	0.848
fair deal	0.917	0.072	0.917	0.889
fair game	0.636	0.188	0.208	0.636
fair play	0.970	-0.034	0.958	0.970
fair question	0.800	0.296	0.750	0.800
fair shake	0.818	0.000	0.792	0.818
fair trade	0.952	0.068	0.952	0.879
fair trial	0.879	0.034	0.630	0.879
fair use	0.700	0.166	0.400	0.700
fairy godmother	1.000	0.096	1.000	0.861
fairy tale	0.857	-0.100	0.857	0.242
faith in	0.972	-0.098	0.875	0.972
fake it	-0.758	-0.408	-0.542	-0.758
fake news	-0.933	-0.352	-0.875	-0.933
fake out	-0.767	-0.656	-0.619	-0.767
fall apart	-0.667	-0.206	-0.571	-0.667
fall asleep	0.292	-0.344	0.292	0.125
fall away	-0.556	-0.408	-0.556	-0.200
fall back	0.048	-0.194	0.048	0.030
fall behind	-0.370	-0.366	-0.370	-0.030
fall down	-0.167	-0.800	-0.167	-0.100
fall flat	-0.524	-0.612	-0.524	-0.278
fall guy	-0.567	-0.420	-0.458	-0.567
fall into	-0.074	-0.154	0.042	-0.074
fall off	-0.370	-0.630	-0.370	-0.056
fall out	-0.542	-0.366	-0.542	-0.139
fall over	-0.042	-0.534	-0.042	0.000
fall short	-0.400	-0.068	-0.370	-0.400
fall through	-0.567	-0.116	-0.481	-0.567
fall to	-0.042	-0.334	-0.042	-0.030
fall under	0.111	-0.388	0.000	0.111
fall victim	-0.133	-0.466	-0.133	-0.061
falling down	-0.429	-0.572	-0.429	-0.182
falling off	-0.208	-0.400	-0.208	-0.200
falling out	-0.500	-0.354	-0.500	-0.303
false alarm	-0.455	-0.482	-0.095	-0.455
false claims	-0.889	-0.344	-0.708	-0.889
false hope	-0.667	-0.678	-0.667	-0.667
false information	-0.967	-0.666	-0.714	-0.967
false negative	-0.619	-0.600	-0.619	-0.611
false positive	-0.667	-0.466	-0.375	-0.667
false positives	-0.556	-0.344	-0.524	-0.556
false sense	-0.625	-0.630	-0.625	-0.512
false start	-0.444	-0.162	-0.208	-0.444
false starts	-0.467	-0.710	-0.333	-0.467
false statements	-0.708	-0.100	-0.708	-0.697
false witness	-0.933	-0.310	-0.875	-0.933
familiar with	0.944	0.300	0.944	0.333
family business	0.958	0.370	0.958	0.533
family doctor	1.000	0.500	1.000	1.000
family emergency	0.952	0.100	0.952	0.185
family friend	0.917	0.130	0.917	0.875
family fun	1.000	0.088	1.000	0.606
family history	0.741	0.162	0.741	0.576
family home	1.000	0.266	1.000	0.926
family man	1.000	0.206	1.000	0.788
family medicine	0.905	0.234	0.905	0.556
family member	0.958	0.108	0.958	0.733
family name	0.905	0.034	0.905	0.515
family owned	1.000	0.428	1.000	0.667
family reunion	1.000	0.276	1.000	0.714
family room	0.958	0.040	0.958	0.600
family size	0.833	-0.040	0.833	0.000
family tree	0.905	0.344	0.905	0.139
family values	0.944	0.630	0.944	0.727
famous person	0.444	0.656	0.444	0.074
fan base	0.917	0.310	0.917	0.121
fan club	0.833	0.074	0.833	0.139
fan out	0.381	-0.380	0.381	0.000
fantasy baseball	0.381	0.380	0.381	0.000
fantasy novel	0.381	0.034	0.381	0.061
fantasy world	0.583	0.290	0.583	0.000
far cry	-0.542	-0.200	-0.542	-0.037
far fetched	-0.444	-0.134	-0.292	-0.444
far from	-0.481	-0.104	-0.481	0.030
far left	-0.148	-0.444	-0.143	-0.148
far off	-0.458	-0.500	-0.458	0.037
far out	0.296	-0.366	0.296	0.037
far right	-0.625	0.154	-0.625	0.000
fashion designer	0.741	0.562	0.741	0.567
fashion industry	-0.367	0.266	0.000	-0.367
fashion show	0.583	0.428	0.583	0.074
fashion statement	0.542	0.206	0.542	0.056
fast food	-0.333	0.100	-0.333	-0.333
fast forward	0.037	0.206	0.037	0.033
fast track	0.233	0.282	-0.056	0.233
fat boy	-0.111	-0.380	-0.048	-0.111
fat cat	-0.667	0.034	0.238	-0.667
fat cats	-0.667	0.000	-0.667	-0.533
fat guy	-0.139	-0.300	0.111	-0.139
fat lady	-0.182	-0.358	0.056	-0.182
fat man	0.524	-0.344	0.524	0.000
fat person	0.292	-0.160	0.292	-0.167
father figure	0.889	0.308	0.889	0.818
father's day	0.963	0.484	0.963	0.611
faux pas	-0.467	-0.230	-0.333	-0.467
favor with	0.810	0.154	0.810	0.515
faze me	-0.083	-0.034	-0.083	0.042
fear for	0.500	-0.242	0.500	-0.033
fear mongering	-0.800	-0.276	-0.750	-0.800
feast on	0.667	0.186	0.667	0.074
feature film	0.417	0.310	0.417	0.303
fecal matter	-1.000	-0.076	-1.000	-0.818
fed up	-0.500	-0.346	-0.500	-0.152
federal court	0.733	0.500	-0.500	0.733
federal government	0.394	0.500	-0.238	0.394
federal holiday	0.704	0.344	0.704	0.606
federal tax	-0.571	0.074	-0.571	0.303
feed off	-0.476	-0.354	-0.476	-0.083
feel bad	-0.333	-0.536	-0.333	-0.091
feel compelled	0.792	0.194	0.792	0.121
feel free	0.917	0.000	0.917	0.636
feel good	0.952	0.114	0.952	0.152
feel out	0.333	-0.534	0.333	0.067
feel sorry	0.944	-0.322	0.944	0.364
feeling good	1.000	0.600	1.000	0.121
fence in	-0.375	-0.034	-0.375	0.000
fend for	0.600	-0.286	0.600	0.455
ferris wheel	0.762	0.034	0.762	0.194
fiat money	0.033	-0.038	0.000	0.033
field goal	0.111	0.234	0.048	0.111
field trip	0.810	-0.032	0.810	0.455
field work	0.556	0.316	0.556	0.519
fight off	0.400	-0.266	0.056	0.400
fight over	-0.583	0.166	-0.583	-0.417
fight with	-0.667	0.242	-0.667	-0.300
fighting words	-0.952	0.366	-0.952	-0.611
figure skating	0.571	0.074	0.571	0.000
file size	0.000	0.000	0.000	0.000
fill out	0.095	-0.276	0.095	0.083
film festival	0.792	0.384	0.792	0.333
filter out	0.606	-0.192	-0.381	0.606
final decision	0.815	0.392	0.000	0.815
financial assistance	0.875	0.392	0.875	0.667
financial gain	-0.444	0.482	-0.381	-0.444
financial situation	0.259	0.214	-0.037	0.259
financial support	0.867	0.540	0.867	0.818
find fault	-0.667	-0.214	-0.625	-0.667
find solace	0.889	-0.256	0.889	0.152
find yourself	0.333	0.130	0.333	0.000
fine art	0.697	0.244	0.500	0.697
fine arts	0.818	0.162	0.444	0.818
fine dining	0.750	-0.124	0.750	0.267
fine example	0.875	0.112	0.875	0.788
fine job	0.767	0.034	0.708	0.767
fine tuning	0.611	0.284	0.167	0.611
fine wine	0.667	0.000	0.667	0.267
finish line	0.333	0.354	0.333	0.074
finish off	-0.200	-0.276	-0.200	-0.074
fire alarm	0.806	-0.024	-0.286	0.806
fire back	-0.417	-0.116	-0.417	-0.152
fire drill	0.190	-0.258	0.000	0.190
fire hydrant	0.111	0.036	0.000	0.111
fire up	0.500	0.406	0.500	0.083
fireside chat	0.905	0.000	0.905	0.667
firing off	-0.417	-0.250	-0.417	-0.111
firing range	-0.250	0.276	-0.250	0.000
firing squad	-0.952	0.200	-0.952	-0.700
first appearance	0.242	0.406	0.190	0.242
first baseman	0.583	0.086	0.583	0.121
first born	0.485	0.234	0.286	0.485
first class	0.667	0.500	0.481	0.667
first degree	0.125	0.366	-0.083	0.125
first down	0.292	-0.100	0.292	-0.030
first ever	0.571	0.266	0.571	0.152
first family	0.833	0.072	0.833	0.545
first generation	0.519	0.434	0.519	0.121
first lady	0.958	0.000	0.958	0.576
first language	0.750	0.064	0.267	0.750
first love	1.000	-0.102	1.000	0.185
first name	1.000	0.064	1.000	0.545
first nation	0.833	0.468	0.833	0.208
first principles	0.697	0.500	0.000	0.697
first quarter	0.037	0.344	0.000	0.037
first rate	0.833	0.552	0.833	0.788
first reading	0.524	0.066	0.524	0.111
first responder	1.000	0.380	1.000	0.967
first run	0.091	0.242	0.083	0.091
first step	0.700	0.276	0.190	0.700
first thing	0.286	0.344	0.286	0.233
first time	0.333	0.068	0.333	0.091
first world	0.125	0.232	0.125	0.083
fish bowl	-0.125	0.094	-0.125	0.030
fish oil	0.417	-0.094	0.417	0.148
fist fight	-0.857	0.100	-0.857	-0.606
fist pump	0.857	0.214	0.857	0.028
fit together	0.857	0.142	0.857	0.500
five hundred	0.083	0.516	0.000	0.083
five star	0.875	0.344	0.875	0.741
flag football	0.800	0.226	0.800	0.000
flare up	-0.583	0.226	-0.583	-0.455
flash back	0.167	0.040	0.167	0.111
flash flood	-0.571	-0.388	-0.571	-0.222
flat out	-0.292	-0.116	-0.292	0.028
flat rate	0.300	0.000	0.000	0.300
flat tire	-0.333	-0.354	-0.333	-0.133
flesh wound	-0.333	-0.250	-0.333	-0.133
fleshed out	0.500	-0.064	0.074	0.500
flight attendant	0.958	0.130	0.958	0.667
flip off	-0.879	-0.290	-0.857	-0.879
flip out	-0.636	-0.500	-0.583	-0.636
flip over	-0.030	-0.148	0.000	-0.030
flip phone	0.152	-0.138	-0.111	0.152
flood in	0.056	-0.112	0.056	0.000
floppy disk	-0.481	-0.166	-0.481	0.000
flush it	-0.061	0.068	0.000	-0.061
flush out	0.139	-0.392	0.000	0.139
flush with	0.519	-0.036	0.519	0.111
fly ball	0.389	0.000	0.389	0.000
fly high	0.667	0.192	0.667	0.231
fly off	-0.333	-0.178	-0.333	-0.212
fly on	-0.111	0.250	-0.111	0.000
flying colors	0.611	0.310	0.167	0.611
focus on	0.639	0.016	0.250	0.639
fog up	-0.185	-0.234	-0.083	-0.185
fold up	-0.121	-0.200	0.000	-0.121
folk music	0.857	-0.076	0.857	0.182
follow me	0.583	0.300	0.583	0.273
follow through	0.926	0.358	0.667	0.926
fond of	0.963	-0.134	0.963	0.611
food court	0.583	0.000	0.583	0.100
food drive	0.792	-0.064	0.792	0.697
food group	0.185	0.000	0.185	0.030
food poisoning	-0.583	-0.354	-0.583	-0.125
food processor	0.278	0.334	0.042	0.278
food production	0.958	0.380	0.958	0.583
food safety	0.970	0.366	0.190	0.970
food waste	-0.542	-0.392	-0.542	-0.273
fool with	-0.389	-0.444	-0.250	-0.389
fool you	-0.889	-0.370	-0.476	-0.889
foot locker	0.030	0.134	0.000	0.030
football club	0.952	0.344	0.952	0.154
football coach	0.867	0.346	0.867	0.600
football game	0.762	0.300	0.762	0.222
football league	0.714	0.266	0.714	0.067
football player	0.611	0.454	0.500	0.611
football season	0.958	0.104	0.958	0.100
football team	0.944	0.600	0.944	0.267
for free	1.000	-0.250	1.000	0.148
for fun	0.926	-0.166	0.926	0.100
for good	0.818	0.242	0.667	0.818
for keeps	0.619	0.036	0.619	0.528
for laughs	0.708	-0.034	0.708	-0.037
for life	0.944	0.162	0.944	0.750
for nothing	-0.048	-0.322	-0.048	-0.037
for real	0.542	0.138	0.542	0.455
for sale	-0.185	0.032	-0.185	0.000
for sure	0.778	-0.076	0.778	0.636
forbidden fruit	-0.667	0.000	-0.524	-0.667
force feed	-0.714	0.034	-0.714	-0.639
force in	-0.381	-0.166	-0.381	0.000
force on	-0.250	0.194	-0.250	-0.061
force out	-0.545	0.066	-0.542	-0.545
forced labor	-1.000	-0.966	-1.000	-0.889
foreign language	0.292	0.358	0.292	0.083
forest fire	-0.792	0.104	-0.792	-0.111
forget it	-0.476	-0.366	-0.476	-0.212
fork over	-0.556	-0.094	-0.381	-0.556
fortune cookie	0.381	-0.108	0.381	0.030
forward looking	0.704	0.448	0.704	0.633
fossil fuel	-0.556	0.000	-0.556	-0.111
foster care	0.857	-0.166	0.857	0.700
fought with	-0.500	-0.064	-0.500	-0.077
foul ball	-0.208	-0.276	-0.208	-0.037
foul language	-0.667	0.000	-0.667	-0.667
foul out	-0.519	-0.434	-0.519	-0.250
foul play	-0.905	-0.066	-0.905	-0.867
founding member	1.000	0.592	1.000	0.697
frat boy	0.722	-0.214	0.722	-0.633
frat house	-0.667	0.000	0.476	-0.667
freak out	-0.619	-0.200	-0.619	0.000
freak show	-0.625	-0.346	-0.625	-0.519
freaked out	-0.444	-0.734	-0.444	-0.222
free agency	0.714	0.000	0.714	0.273
free choice	1.000	0.414	1.000	0.600
free entry	0.708	0.162	0.708	0.167
free expression	0.958	0.074	0.958	0.633
free from	0.576	0.294	0.333	0.576
free gift	0.571	0.222	0.571	-0.200
free hand	0.417	-0.094	0.417	0.100
free pass	0.333	0.100	0.333	-0.091
free people	0.875	0.068	0.875	0.852
free press	0.788	0.000	0.762	0.788
free ride	-0.394	0.100	-0.292	-0.394
free space	0.100	-0.178	0.000	0.100
free speech	0.788	0.434	0.476	0.788
free spirit	0.875	0.206	0.875	0.242
free ticket	0.714	0.138	0.714	0.141
free trade	0.296	0.234	0.167	0.296
free will	0.875	0.242	0.875	0.367
free world	0.667	0.408	0.667	0.500
free zone	0.389	-0.096	0.389	0.111
freedom fighter	1.000	0.656	1.000	0.639
freeze over	-0.583	-0.072	-0.583	-0.083
freeze up	-0.667	-0.310	-0.667	-0.182
freezing cold	-0.926	-0.334	-0.926	-0.200
freezing temperatures	-0.917	-0.138	-0.917	0.028
freight train	-0.333	0.016	-0.333	0.077
french teacher	0.583	0.282	0.583	0.500
fresh air	0.952	0.206	0.952	0.190
fresh food	0.571	0.414	0.571	0.200
fresh fruit	0.958	0.348	0.958	0.481
fresh legs	0.542	0.352	0.542	0.056
fresh start	1.000	0.300	1.000	0.758
fresh water	0.639	0.138	0.000	0.639
freudian slip	-0.242	-0.032	0.000	-0.242
fried egg	0.625	0.048	0.625	0.030
fried eggs	0.292	-0.026	0.292	0.091
fried rice	0.593	-0.206	0.593	0.061
friends with	1.000	0.344	1.000	0.606
from hell	-1.000	-0.186	-0.792	-1.000
from scratch	0.852	-0.032	0.556	0.852
front row	0.583	0.250	0.583	0.455
front seat	0.333	0.258	0.333	0.100
frozen yogurt	0.292	-0.178	0.292	0.091
fruit juice	0.708	0.166	0.708	0.200
fruit punch	0.857	-0.064	0.857	0.000
fruit salad	0.750	-0.072	0.750	0.000
full day	0.571	0.036	0.571	0.152
full employment	0.636	0.400	0.519	0.636
full extent	0.381	0.400	0.381	0.152
full face	0.333	-0.140	0.333	0.030
full grown	0.267	0.334	0.095	0.267
full moon	0.028	0.366	0.000	0.028
full range	0.100	0.238	0.099	0.100
full service	0.810	0.464	0.810	0.528
full speed	0.182	0.532	0.125	0.182
full stop	-0.185	-0.206	-0.185	0.030
full strength	0.370	0.548	0.370	0.212
full swing	0.667	0.172	0.667	0.091
full throttle	0.212	0.334	0.000	0.212
full time	0.667	0.366	0.292	0.667
full year	0.185	0.172	0.048	0.185
fully grown	0.556	0.242	0.000	0.556
fun activities	1.000	0.322	1.000	0.121
fun day	0.905	0.286	0.905	0.121
fun facts	0.958	0.214	0.958	0.242
fun part	0.917	-0.034	0.917	0.061
fun ride	1.000	0.034	1.000	0.033
fun run	0.958	0.104	0.958	0.259
fun stuff	1.000	0.038	1.000	0.152
fund manager	0.611	0.272	-0.333	0.611
fundamental right	0.933	0.586	0.762	0.933
funeral home	-0.708	-0.194	-0.708	0.222
funnel cake	0.905	0.032	0.905	0.000
funny man	0.833	0.108	0.833	0.167
funny story	0.917	-0.222	0.917	0.091
further down	-0.042	-0.260	-0.042	0.030
futures contract	0.133	0.344	0.000	0.133
gag order	-0.639	-0.204	-0.625	-0.639
gag reflex	-0.278	0.076	-0.278	-0.121
gain in	0.375	0.300	0.375	0.067
gain on	0.125	0.052	0.125	0.033
game changer	0.667	0.322	0.667	0.636
game over	-0.708	-0.500	-0.708	-0.152
game plan	0.143	0.230	0.143	0.042
game room	1.000	-0.072	1.000	0.121
game store	0.407	-0.148	0.407	0.121
gang bang	-1.000	0.200	-0.833	-1.000
gang member	-0.750	0.334	-0.750	-0.741
gang up	-0.667	-0.290	-0.667	-0.667
gaping hole	-0.619	-0.108	-0.619	-0.152
garbage bag	-0.619	-0.104	-0.619	-0.061
garbage bin	-0.762	-0.142	-0.762	-0.167
garbage can	-0.810	-0.466	-0.810	-0.100
garbage collection	0.167	-0.214	0.167	0.000
garbage disposal	-0.542	-0.408	-0.542	-0.194
garbage man	0.222	-0.322	-0.208	0.222
garbage truck	-0.278	-0.108	-0.278	0.000
gas leak	-0.857	-0.322	-0.857	-0.500
gas light	-1.000	-0.134	-1.000	-0.933
gas mask	-0.708	0.000	-0.708	0.242
gas pedal	-0.030	0.064	0.000	-0.030
gas pump	-0.333	-0.178	-0.333	0.259
gas tank	-0.083	-0.034	-0.083	-0.067
gas up	0.042	-0.032	0.042	0.000
gateway drug	-0.667	-0.072	-0.667	-0.600
gay bar	0.833	-0.296	0.833	0.000
gay people	1.000	-0.102	1.000	-0.095
gear up	0.238	0.032	0.238	0.212
gearing up	0.417	-0.108	0.417	0.091
gender identity	0.875	0.162	0.875	0.000
general manager	0.667	0.310	0.056	0.667
general public	0.467	-0.072	0.417	0.467
genghis khan	-0.714	0.000	-0.714	-0.556
gentle giant	0.917	0.176	0.917	0.697
get above	0.143	0.100	0.143	-0.026
get advice	0.857	0.124	0.857	0.606
get ahead	0.250	0.108	0.167	0.250
get along	1.000	0.000	1.000	0.606
get attention	0.556	0.322	0.556	0.100
get bent	-0.758	-0.286	-0.524	-0.758
get better	0.889	0.178	0.889	0.472
get burned	-0.611	-0.172	-0.381	-0.611
get caught	-0.515	0.000	-0.407	-0.515
get confused	-0.100	-0.452	0.048	-0.100
get credit	0.485	0.380	0.238	0.485
get down	-0.333	-0.346	-0.333	0.030
get fresh	-0.542	0.350	-0.095	-0.542
get going	0.667	0.218	0.667	0.212
get healthy	0.917	0.578	0.917	0.857
get help	0.958	-0.156	0.958	0.250
get it	0.905	0.172	0.905	0.139
get laid	-0.056	-0.034	0.000	-0.056
get lost	-1.000	-0.482	-1.000	-0.267
get mad	-0.556	-0.366	-0.556	-0.367
get married	1.000	0.512	1.000	0.333
get nowhere	-0.667	-0.200	-0.667	-0.455
get off	-0.429	-0.466	-0.429	0.000
get older	0.524	-0.130	0.167	0.524
get out	-0.750	-0.206	-0.750	-0.194
get outside	0.524	-0.314	0.524	0.028
get over	0.259	0.142	0.259	0.091
get permission	0.545	0.104	0.333	0.545
get ready	0.222	0.194	0.222	0.133
get real	-0.375	0.162	-0.375	0.292
get revenge	-0.762	0.000	-0.762	-0.636
get screwed	-0.815	-0.344	-0.815	-0.758
get serious	0.606	0.074	-0.048	0.606
get sick	-0.143	-0.290	-0.143	0.083
get some	0.375	0.222	0.375	0.000
get started	0.583	0.100	0.583	0.100
get stuck	-0.458	-0.368	-0.458	0.061
get support	0.958	0.038	0.958	0.700
get together	1.000	0.380	1.000	0.389
get up	0.286	0.034	0.286	0.030
get well	1.000	0.000	1.000	0.879
get wet	0.121	-0.072	0.000	0.121
get worse	-0.667	-0.312	-0.667	-0.267
get you	0.905	-0.036	0.905	-0.200
get yours	-0.519	0.100	-0.481	-0.519
ghost story	-0.444	0.100	-0.208	-0.444
ghost town	-0.857	-0.226	-0.857	-0.037
ghost writer	-0.333	-0.072	-0.190	-0.333
giant leap	0.476	0.038	0.476	0.152
gift basket	0.952	0.038	0.952	0.424
gift card	0.857	0.036	0.857	0.639
gift certificate	0.958	0.452	0.958	0.697
gift shop	0.952	0.034	0.952	0.278
gift wrapping	0.958	0.178	0.958	0.300
ginger ale	0.429	-0.400	0.429	0.121
gingerbread house	0.958	0.176	0.958	0.061
girl group	0.944	-0.036	0.944	0.139
girl power	1.000	0.388	1.000	0.500
girl scouts	1.000	0.076	1.000	0.889
give birth	0.905	-0.032	0.905	0.185
give credit	0.952	0.286	0.952	0.879
give out	0.778	-0.500	0.778	0.222
give permission	0.792	0.482	0.792	0.667
give power	0.905	0.482	0.905	0.519
give thanks	1.000	0.310	1.000	0.778
give up	-0.524	-0.400	-0.524	-0.095
given name	0.762	0.172	0.762	0.444
giving birth	1.000	0.034	1.000	0.167
glass bottle	0.083	-0.226	0.000	0.083
glazed donut	0.571	-0.074	0.571	0.056
global warming	-0.222	0.286	-0.222	0.042
glory days	0.905	0.234	0.905	0.167
glory in	0.222	0.178	0.000	0.222
gloss over	-0.576	-0.370	-0.556	-0.576
glow stick	0.625	0.062	0.625	0.030
go against	-0.467	-0.100	-0.467	-0.222
go ahead	0.381	-0.034	0.381	0.242
go ape	-0.333	-0.234	0.000	-0.333
go back	-0.111	-0.134	-0.111	0.037
go bad	-0.556	-0.734	-0.542	-0.556
go bankrupt	-0.630	-0.370	-0.630	-0.389
go by	-0.148	-0.218	-0.148	0.042
go crazy	-0.182	-0.032	0.042	-0.182
go cry	-0.722	-0.534	-0.722	-0.182
go down	-0.143	-0.518	-0.143	-0.100
go downhill	-0.619	-0.290	-0.619	-0.364
go easy	0.833	-0.066	0.833	0.519
go figure	-0.083	-0.096	-0.083	0.028
go for	0.111	0.200	0.111	0.067
go forward	0.167	0.322	0.167	0.100
go green	0.583	0.242	0.429	0.583
go hang	-0.852	-0.300	-0.833	-0.852
go hungry	-0.583	-0.112	-0.583	0.061
go mad	-0.444	-0.308	-0.444	-0.259
go missing	-0.630	-0.480	-0.630	-0.556
go nowhere	-0.583	-0.518	-0.583	-0.222
go nuts	0.875	-0.300	0.875	-0.167
go off	-0.381	-0.414	-0.381	-0.152
go on	0.200	0.000	0.200	0.028
go out	0.875	-0.342	0.875	0.000
go overboard	0.524	0.036	0.524	-0.182
go past	0.067	-0.076	-0.048	0.067
go places	0.810	0.200	0.810	0.212
go red	0.292	-0.206	0.292	-0.139
go south	-0.417	-0.458	-0.417	-0.194
go straight	0.767	0.258	0.381	0.767
go to	0.333	-0.064	0.278	0.333
go together	0.917	0.310	0.917	0.200
go toward	0.286	0.156	0.286	0.000
go towards	0.292	-0.046	0.292	0.194
go under	-0.364	-0.120	-0.238	-0.364
go unnoticed	-0.500	-0.466	-0.500	-0.030
go well	1.000	0.334	1.000	0.182
go with	0.905	0.218	0.905	0.179
go without	0.208	-0.290	0.208	0.133
go wrong	-0.758	-0.548	-0.429	-0.758
goal line	0.143	0.242	0.143	0.133
goal scorer	0.444	0.366	0.444	0.167
god almighty	0.619	0.552	0.619	0.611
god awful	-0.958	-0.104	-0.958	-0.694
god knows	0.567	0.286	0.222	0.567
god willing	0.810	0.258	0.810	0.697
goddamn it	-0.667	-0.286	-0.667	-0.630
going away	-0.500	-0.100	-0.500	-0.030
going down	-0.333	-0.400	-0.333	-0.152
going places	0.833	0.178	0.833	0.212
going strong	0.810	0.388	0.810	0.741
going under	-0.576	-0.148	-0.333	-0.576
gold medal	0.857	0.656	0.857	0.697
gold medalist	0.917	1.000	0.917	0.636
gold mine	0.571	0.276	0.571	0.182
gold rush	-0.242	0.322	0.000	-0.242
gold standard	0.933	0.296	0.875	0.933
golden age	0.810	0.384	0.810	0.556
golden boy	0.952	0.572	0.952	0.606
golden calf	-0.700	0.206	-0.500	-0.700
golden gate	0.714	0.518	0.714	0.152
golden girl	0.958	0.214	0.958	0.758
golden goal	0.625	0.630	0.625	0.545
golden goose	0.375	0.172	0.375	0.200
golden opportunity	0.889	0.742	0.889	0.639
golden retriever	1.000	0.392	1.000	0.867
golden rule	0.958	0.200	0.958	0.867
golden ticket	0.958	0.296	0.958	0.576
golden years	0.889	0.552	0.889	0.545
golf cart	0.458	-0.064	0.458	0.083
golf game	0.583	0.132	0.583	0.000
good afternoon	0.958	0.276	0.958	0.111
good at	0.762	0.484	0.762	0.467
good bet	0.636	0.234	0.444	0.636
good book	0.857	0.380	0.857	0.600
good books	0.917	0.380	0.917	0.593
good day	0.963	0.218	0.963	0.455
